Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
93904898,"2025-02-06 20:16:26",sell,0.5,BTCUSD,96449.11000000,96716.64,93746.67000000,"2025-02-06 21:31:09",96381.13000000,0,0,27.34000000,67.98,4483
93904897,"2025-02-06 13:52:46",sell,5,US30.cash,44709.10000000,44728.9,43827.41000000,"2025-02-06 21:31:08",44687.74000000,0,0,85.89000000,21.36,27502
93904222,"2025-02-06 20:58:07",sell,5,US100.cash,21648.85000000,21668.85,0.00000000,"2025-02-06 21:16:34",21668.95000000,0,0,-80.79000000,-20.10,1107
93903632,"2025-02-06 16:16:53",sell,5,US100.cash,21711.65000000,21711.25,21041.58000000,"2025-02-06 21:05:58",21647.35000000,0,0,258.51000000,64.30,17345
93902997,"2025-02-06 20:26:55",sell,5,ETHUSD,2706.71000000,2746.71,2406.71000000,"2025-02-06 20:55:18",2696.53000000,0,0,40.93000000,10.18,1703
93902989,"2025-02-06 16:16:53",sell,5,US100.cash,21720.35000000,21711.25,21041.58000000,"2025-02-06 20:55:09",21666.25000000,0,0,217.50000000,54.10,16696
93902960,"2025-02-06 12:59:15",sell,0.3,BTCUSD,96869.77000000,97169.79,92896.44000000,"2025-02-06 20:54:34",96150.03000000,0,0,173.61000000,719.74,28519
93902491,"2025-02-06 13:52:46",sell,1,US30.cash,44793.46000000,44817.55,43827.41000000,"2025-02-06 20:48:19",44622.54000000,0,0,137.40000000,170.92,24933
93902241,"2025-02-06 16:16:53",sell,4,US100.cash,21709.05000000,21696.88,21041.58000000,"2025-02-06 20:45:39",21635.95000000,0,0,235.09000000,73.10,16126
93892887,"2025-02-06 12:59:15",sell,0.1,BTCUSD,97441.17000000,98282.46,94472.39000000,"2025-02-06 18:37:51",96955.43000000,0,0,39.05000000,485.74,20316
93891943,"2025-02-06 12:59:15",sell,0.1,BTCUSD,97635.87000000,98282.46,94472.39000000,"2025-02-06 18:22:33",96455.93000000,0,0,94.87000000,1179.94,19398
93891918,"2025-02-06 13:52:46",sell,1,US30.cash,44826.06000000,44818.7,44530.06000000,"2025-02-06 18:22:10",44750.44000000,0,0,60.80000000,75.62,16164
93889222,"2025-02-06 16:16:53",sell,2,US100.cash,21731.35000000,21745.03,21459.92000000,"2025-02-06 17:52:28",21681.85000000,0,0,79.60000000,49.50,5735
93889095,"2025-02-06 13:52:46",sell,1,US30.cash,44836.14000000,44818.7,44530.06000000,"2025-02-06 17:51:00",44744.24000000,0,0,73.90000000,91.90,14294
93883650,"2025-02-06 13:52:46",sell,3,US30.cash,44926.86000000,44931.64,44530.06000000,"2025-02-06 17:03:15",44754.64000000,0,0,416.07000000,172.22,11429
93883361,"2025-02-06 16:16:53",sell,2,US100.cash,21731.35000000,21745.03,21459.92000000,"2025-02-06 17:00:45",21674.15000000,0,0,92.15000000,57.20,2632
93883270,"2025-02-06 12:59:15",sell,0.2,BTCUSD,98126.97000000,98282.46,94472.39000000,"2025-02-06 17:00:02",97306.63000000,0,0,132.16000000,820.34,14447
93878086,"2025-02-06 16:16:53",sell,2,US100.cash,21731.35000000,21745.03,0.00000000,"2025-02-06 16:32:31",21688.55000000,0,0,68.99000000,42.80,938
93877488,"2025-02-06 12:59:15",sell,0.2,BTCUSD,98784.07000000,98282.46,94472.39000000,"2025-02-06 16:29:46",97627.00000000,0,0,186.53000000,1157.07,12631
93877282,"2025-02-06 16:16:53",sell,4,US100.cash,21731.35000000,21745.03,0.00000000,"2025-02-06 16:28:29",21696.15000000,0,0,113.44000000,35.20,696
93875333,"2025-02-06 16:04:59",buy,5,US30.cash,44854.74000000,44829.01,0.00000000,"2025-02-06 16:19:52",44828.06000000,0,0,-107.44000000,-26.68,893
93874371,"2025-02-06 14:31:41",sell,15,US100.cash,21681.78333000,21739.97,21457.35000000,"2025-02-06 16:15:53",21740.25000000,0,0,-706.35000000,-58.47,6252
93874220,"2025-02-06 15:00:51",sell,3,US30.cash,44948.96000000,45060.12,0.00000000,"2025-02-06 16:15:17",44868.74000000,0,0,193.84000000,80.22,4466
93873658,"2025-02-06 15:54:39",sell,5.2,US100.cash,21706.65000000,21728.71,0.00000000,"2025-02-06 16:12:44",21729.05000000,0,0,-93.85000000,-22.40,1085
93872710,"2025-02-06 15:00:51",sell,2,US30.cash,44948.96000000,45060.12,0.00000000,"2025-02-06 16:09:27",44854.74000000,0,0,151.84000000,94.22,4116
93862524,"2025-02-06 15:01:19",sell,10,US100.cash,21663.85000000,21692.06,0.00000000,"2025-02-06 15:40:43",21659.75000000,0,0,33.02000000,4.10,2364
93855075,"2025-02-06 10:20:41",sell,6,US100.cash,21672.16667000,21676.34,21172.17000000,"2025-02-06 15:00:02",21677.85000000,0,0,-27.54000000,-5.68,16761
93853200,"2025-02-06 11:23:14",sell,2,US30.cash,45031.46000000,45053.42,44702.09000000,"2025-02-06 14:46:59",44917.84000000,0,0,183.53000000,113.62,12225
93850262,"2025-02-06 12:59:15",sell,0.1,BTCUSD,98784.07000000,99197.7,0.00000000,"2025-02-06 14:16:46",98356.53000000,0,0,34.54000000,427.54,4651
93846919,"2025-02-06 12:59:50",sell,2,US30.cash,44881.96000000,44946,44530.46000000,"2025-02-06 13:47:03",44945.84000000,0,0,-103.26000000,-63.88,2833
93837654,"2025-02-06 11:23:14",sell,2.1,US30.cash,45042.96000000,45072.74,44575.89000000,"2025-02-06 12:22:48",44884.84000000,0,0,267.18000000,158.12,3574
93833387,"2025-02-06 03:30:17",buy,8,DOGEUSD,0.25962000,0.25095,0.28840000,"2025-02-06 11:39:53",0.26179000,0,0,14.00000000,0.00217,29376
93830310,"2025-02-06 10:20:59",sell,2,US30.cash,44968.96000000,45018.96,0.00000000,"2025-02-06 11:03:34",45021.34000000,0,0,-84.28000000,-52.38,2555
93828153,"2025-02-06 03:27:06",buy,0.1,BTCUSD,97205.93000000,96705.93,99005.93000000,"2025-02-06 10:33:26",98462.07000000,0,0,100.99000000,1256.14,25580
93828068,"2025-02-06 03:27:06",buy,0.1,BTCUSD,97205.93000000,96705.93,99005.93000000,"2025-02-06 10:32:23",98462.57000000,0,0,101.05000000,1256.64,25517
93822966,"2025-02-06 03:33:45",sell,2,US30.cash,44933.86000000,45003.86,44733.86000000,"2025-02-06 09:43:13",45004.84000000,0,0,-114.00000000,-70.98,22168
93810047,"2025-02-06 03:25:28",sell,2,US100.cash,21672.95000000,21722.95,21472.95000000,"2025-02-06 06:28:38",21723.15000000,0,0,-80.39000000,-50.20,10990
93807539,"2025-02-06 03:26:16",buy,3,ETHUSD,2814.24000000,2794.24,0.00000000,"2025-02-06 04:07:50",2794.05000000,0,0,-48.48000000,-20.19,2494
93800193,"2025-02-05 21:55:44",buy,0.2,BTCUSD,97371.03000000,96871.03,0.00000000,"2025-02-05 22:29:03",97242.64000000,0,0,-20.54000000,-128.39,1999
93800120,"2025-02-05 21:46:09",buy,6,US100.cash,21598.25000000,21640.43,0.00000000,"2025-02-05 22:24:26",21668.44000000,0,0,336.77000000,70.19,2297
93800089,"2025-02-05 21:46:09",buy,2,US100.cash,21598.25000000,21640.43,0.00000000,"2025-02-05 22:22:35",21673.94000000,0,0,121.05000000,75.69,2186
93799984,"2025-02-05 21:46:09",buy,2,US100.cash,21598.25000000,21640.43,0.00000000,"2025-02-05 22:18:18",21681.94000000,0,0,133.84000000,83.69,1929
93798173,"2025-02-05 21:11:19",sell,0.5,BTCUSD,97555.77000000,97666.01,94313.88000000,"2025-02-05 21:48:06",97131.43000000,0,0,169.73000000,424.34,2207
